"Date","SKU","Product","Country","Region","Actuals"
2016-09-01,100018,"Product K","AU","OC",10646
2015-11-01,100018,"Product K","AU","OC",12651
2018-07-01,100018,"Product K","AU","OC",3528
2017-01-01,100018,"Product K","AU","OC",4701
2018-08-01,100018,"Product K","AU","OC",3346
2018-06-01,100018,"Product K","AU","OC",3914
2018-03-01,100018,"Product K","AU","OC",4183
2017-10-01,100018,"Product K","AU","OC",5339
2017-06-01,100018,"Product K","AU","OC",5632
2017-04-01,100018,"Product K","AU","OC",5685
2016-06-01,100018,"Product K","AU","OC",13197
2016-03-01,100018,"Product K","AU","OC",9035
2018-10-01,100018,"Product K","AU","OC",2580
2018-01-01,100018,"Product K","AU","OC",4556
2017-07-01,100018,"Product K","AU","OC",5504
2017-02-01,100018,"Product K","AU","OC",9388
2017-12-01,100018,"Product K","AU","OC",5463
2017-08-01,100018,"Product K","AU","OC",5480
2017-05-01,100018,"Product K","AU","OC",10751
2017-03-01,100018,"Product K","AU","OC",9007
2016-05-01,100018,"Product K","AU","OC",4797
2017-11-01,100018,"Product K","AU","OC",5183
2016-12-01,100018,"Product K","AU","OC",6762
2016-01-01,100018,"Product K","AU","OC",9886
2018-09-01,100018,"Product K","AU","OC",4066
2018-05-01,100018,"Product K","AU","OC",0
2017-09-01,100018,"Product K","AU","OC",6135
2016-10-01,100018,"Product K","AU","OC",8059
2016-04-01,100018,"Product K","AU","OC",11237
2016-02-01,100018,"Product K","AU","OC",25172
2018-02-01,100018,"Product K","AU","OC",4757
2016-11-01,100018,"Product K","AU","OC",11590
2016-08-01,100018,"Product K","AU","OC",11168
2016-07-01,100018,"Product K","AU","OC",8613
2015-12-01,100018,"Product K","AU","OC",15872
2016-02-01,100004,"Product D","BE","EU",7725
2016-12-01,100004,"Product D","BE","EU",6702
2018-08-01,100004,"Product D","BE","EU",3259
2016-03-01,100004,"Product D","BE","EU",6693
2016-07-01,100004,"Product D","BE","EU",6516
2016-08-01,100004,"Product D","BE","EU",6191
2016-10-01,100004,"Product D","BE","EU",8572
2017-07-01,100004,"Product D","BE","EU",3267
2017-03-01,100004,"Product D","BE","EU",5536
2017-11-01,100004,"Product D","BE","EU",4198
2017-12-01,100004,"Product D","BE","EU",4808
2018-10-01,100004,"Product D","BE","EU",3768
2018-04-01,100004,"Product D","BE","EU",4669
2017-05-01,100004,"Product D","BE","EU",3428
2016-11-01,100004,"Product D","BE","EU",6079
2018-01-01,100004,"Product D","BE","EU",4335
2015-12-01,100004,"Product D","BE","EU",7802
2015-11-01,100004,"Product D","BE","EU",7128
2016-06-01,100004,"Product D","BE","EU",7211
2017-09-01,100004,"Product D","BE","EU",4838
2018-03-01,100004,"Product D","BE","EU",2805
2017-08-01,100004,"Product D","BE","EU",4568
2017-01-01,100004,"Product D","BE","EU",6315
2018-06-01,100004,"Product D","BE","EU",4170
2016-09-01,100004,"Product D","BE","EU",6702
2016-05-01,100004,"Product D","BE","EU",6798
2017-06-01,100004,"Product D","BE","EU",3922
2017-02-01,100004,"Product D","BE","EU",5938
2016-04-01,100004,"Product D","BE","EU",7111
2016-01-01,100004,"Product D","BE","EU",7601
2017-04-01,100004,"Product D","BE","EU",4954
2018-09-01,100004,"Product D","BE","EU",4025
2018-05-01,100004,"Product D","BE","EU",4202
2018-02-01,100004,"Product D","BE","EU",4391
2017-10-01,100004,"Product D","BE","EU",4958
2018-07-01,100004,"Product D","BE","EU",4680
2015-12-01,100019,"Product E","BE","EU",17
2016-03-01,100019,"Product E","BE","EU",17
2017-08-01,100019,"Product E","BE","EU",40
2018-01-01,100019,"Product E","BE","EU",62
2018-07-01,100019,"Product E","BE","EU",17
2016-05-01,100019,"Product E","BE","EU",25
2016-09-01,100019,"Product E","BE","EU",29
2017-07-01,100019,"Product E","BE","EU",25
2017-06-01,100019,"Product E","BE","EU",25
2017-05-01,100019,"Product E","BE","EU",36
2016-12-01,100019,"Product E","BE","EU",44
2016-11-01,100019,"Product E","BE","EU",44
2017-12-01,100019,"Product E","BE","EU",4
2017-10-01,100019,"Product E","BE","EU",40
2018-09-01,100019,"Product E","BE","EU",53
2018-06-01,100019,"Product E","BE","EU",57
2018-08-01,100019,"Product E","BE","EU",77
2017-04-01,100019,"Product E","BE","EU",17
2018-03-01,100019,"Product E","BE","EU",29
2017-11-01,100019,"Product E","BE","EU",25
